age,emp_type,emp_exp,income,add_income,loan_amt,loan_term,loan_purpose,debt,emi,credit,defaults,repay_status,risk_score,source,timestamp
22,self,7,666956,0,3138984,24,Debt consolidation,388323,35741,389,0,excellent,67,bootstrap,2026-08-04T09:33:38.090612+00:00
34,salaried,19,592986,0,3053203,240,Education,115574,29439,584,1,excellent,87,bootstrap,2026-08-04T09:33:38.090783+00:00
65,salaried,8,869659,0,2873559,24,Home purchase,199191,6338,667,1,good,67,bootstrap,2026-08-04T09:33:38.090867+00:00
50,salaried,29,382244,0,1279678,84,Business / MSME working capital,50407,4558,346,0,fair,77,bootstrap,2026-08-04T09:33:38.090923+00:00
35,self,12,534671,82869,2716253,84,Vehicle,194081,23283,514,0,fair,97,bootstrap,2026-08-04T09:33:38.090977+00:00
59,self,17,499483,0,1988859,120,Personal / Consumption,292002,14392,632,1,fair,98,bootstrap,2026-08-04T09:33:38.091028+00:00
23,self,12,1160697,0,1819852,84,Vehicle,687277,32717,705,1,good,52,bootstrap,2026-08-04T09:33:38.091078+00:00
37,salaried,23,799246,0,3643963,120,Personal / Consumption,114987,9065,821,0,fair,32,bootstrap,2026-08-04T09:33:38.091127+00:00
30,self,25,659901,188384,2551520,24,Education,200078,39052,779,0,poor,57,bootstrap,2026-08-04T09:33:38.091212+00:00
64,self,21,248154,0,1394194,84,Home purchase,76939,28492,461,0,poor,98,bootstrap,2026-08-04T09:33:38.091274+00:00
53,self,16,1304733,0,7110434,240,Business / MSME working capital,208573,10016,682,1,good,77,bootstrap,2026-08-04T09:33:38.091326+00:00
21,self,15,2424464,0,6139806,60,Vehicle,121477,15785,880,2,excellent,57,bootstrap,2026-08-04T09:33:38.091384+00:00
25,other,17,2238391,0,11118782,180,Business / MSME working capital,346296,17370,840,1,good,52,bootstrap,2026-08-04T09:33:38.091432+00:00
55,self,22,1088346,0,3396989,84,Education,542717,29588,423,0,excellent,67,bootstrap,2026-08-04T09:33:38.091533+00:00
58,self,18,288224,0,198883,12,Vehicle,17668,2058,638,0,excellent,57,bootstrap,2026-08-04T09:33:38.091602+00:00
34,salaried,23,2235975,159695,4126817,180,Education,399318,6181,399,0,good,27,bootstrap,2026-08-04T09:33:38.091653+00:00
50,self,1,1924287,0,1066911,120,Debt consolidation,711569,7161,554,0,good,53,bootstrap,2026-08-04T09:33:38.091702+00:00
48,salaried,14,787967,0,3767250,240,Home purchase,26522,35427,315,2,poor,98,bootstrap,2026-08-04T09:33:38.091758+00:00
31,salaried,15,1191447,66032,541869,36,Education,2260,25586,571,2,fair,92,bootstrap,2026-08-04T09:33:38.091807+00:00
