application_id,age,emp_type,emp_exp_years,annual_income,additional_income,loan_amount,loan_term_months,loan_purpose,existing_debt,monthly_emi,credit_score,previous_defaults,repayment_status,defaulted_within_12_months
APP-10001,61,salaried,17,1327150,73736,2888283,84,business,452417,51645,332,0,poor,1
APP-10002,59,salaried,12,2059593,165852,77257,120,personal,366778,11915,584,0,poor,1
APP-10003,27,salaried,1,1805668,0,2582210,36,home,0,78900,849,0,excellent,0
APP-10004,26,salaried,5,1106516,0,242201,84,personal,0,3171,381,2,poor,1
APP-10005,38,salaried,11,982220,129842,2860918,36,other,0,87416,373,1,fair,1
APP-10006,31,salaried,4,1221132,0,284620,24,home,0,13045,710,0,good,0
APP-10007,57,self,20,1191820,0,1709400,84,vehicle,156413,27164,552,1,fair,1
APP-10008,48,self,12,1818323,92525,2187108,48,home,0,50121,412,0,fair,1
APP-10009,59,salaried,24,2263143,0,2370397,120,home,130116,25703,849,0,excellent,0
APP-10010,42,salaried,13,963361,0,1154733,60,personal,121579,24884,605,1,fair,0
APP-10011,30,salaried,2,302398,0,2099360,12,home,0,192441,614,0,fair,1
APP-10012,26,salaried,7,590298,0,2284331,120,personal,508369,36472,862,0,excellent,0
APP-10013,59,salaried,13,1143688,0,1723494,84,other,953313,51698,829,0,excellent,0
APP-10014,35,salaried,0,1265171,0,80160,12,other,250062,14988,369,2,poor,1
APP-10015,53,salaried,31,1198574,0,2445128,60,vehicle,505948,60286,716,0,excellent,0
APP-10016,63,salaried,27,2024287,0,277210,84,other,0,3630,400,0,poor,1
APP-10017,36,salaried,17,2181621,116200,1218303,48,personal,0,27919,377,1,poor,1
APP-10018,27,salaried,8,361898,0,1041447,24,vehicle,234130,54885,710,0,fair,0
APP-10019,45,salaried,12,1412342,0,1958443,36,vehicle,775990,83551,869,0,excellent,0
APP-10020,30,salaried,3,545296,0,2324131,12,other,62578,214957,898,0,excellent,0
APP-10021,31,salaried,8,636011,0,337399,60,home,256629,14026,713,0,excellent,0
APP-10022,36,salaried,1,643863,0,2498099,60,business,283432,54458,509,0,fair,1
